Graph,Random Critical Fraction,Targeted Critical Fraction,Average Shortest Path Length,Average Clustering Coefficient,No. Connected Components
BA Nordu1997,0.35714285714285715,0.07142857142857142,2.318681318681319,0.0,1
BA Netrail,0.5714285714285714,0.14285714285714285,1.7142857142857142,0.0,1
BA Abilene,0.45454545454545453,0.09090909090909091,1.9636363636363636,0.0,1
BA Belnet2010,0.4090909090909091,0.045454545454545456,3.1125541125541125,0.0,1
BA Harnet,0.38095238095238093,0.047619047619047616,3.0,0.0,1
BA Belnet2005,0.4782608695652174,0.2608695652173913,2.308300395256917,0.1342650103519669,1
BA IowaStatewideFiberMap,0.18181818181818182,0.030303030303030304,3.537878787878788,0.0,1
BA Evolink,0.1891891891891892,0.02702702702702703,3.798798798798799,0.0,1
BA BtAsiaPac,0.5,0.3,2.210526315789474,0.11285714285714285,1
BA Forthnet,0.20967741935483872,0.016129032258064516,4.098360655737705,0.0,1
BA Cesnet1999,0.38461538461538464,0.07692307692307693,2.230769230769231,0.0,1
BA Reuna,0.1891891891891892,0.02702702702702703,3.798798798798799,0.0,1
BA Cesnet1993,0.5,0.1,1.8,0.0,1
BA PionierL1,0.19444444444444445,0.027777777777777776,3.7142857142857144,0.0,1
BA Garr200912,0.3333333333333333,0.018518518518518517,3.9685534591194966,0.0,1
BA Geant2001,0.2962962962962963,0.037037037037037035,3.3732193732193734,0.0,1
BA Mren,0.6666666666666666,0.16666666666666666,1.6666666666666667,0.0,1
BA Peer1,0.375,0.0625,2.475,0.0,1
BA Cudi,0.29411764705882354,0.0196078431372549,3.816470588235294,0.0,1
BA VisionNet,0.375,0.041666666666666664,3.239130434782609,0.0,1
BA Grena,0.375,0.0625,2.475,0.0,1
BA Uninet,0.46153846153846156,0.38461538461538464,1.9743589743589745,0.13846153846153847,1
BA Xeex,0.375,0.041666666666666664,3.239130434782609,0.0,1
BA Uninett2011,0.2318840579710145,0.014492753623188406,4.281329923273657,0.0,1
