Graph,Random Critical Fraction,Targeted Critical Fraction,Average Shortest Path Length,Average Clustering Coefficient,No. Connected Components
Nordu1997,0.21428571428571427,0.07142857142857142,2.1538461538461537,0.0,1
Netrail,0.5714285714285714,0.2857142857142857,1.5238095238095237,0.5666666666666667,1
Abilene,0.36363636363636365,0.36363636363636365,2.418181818181818,0.1515151515151515,1
Belnet2010,0.22727272727272727,0.09090909090909091,3.4242424242424243,0.0,1
Harnet,0.19047619047619047,0.14285714285714285,3.057142857142857,0.0,1
Belnet2005,0.2608695652173913,0.08695652173913043,2.1462450592885376,0.7318840579710144,1
IowaStatewideFiberMap,0.36363636363636365,0.15151515151515152,4.106060606060606,0.05858585858585859,1
Evolink,0.16216216216216217,0.10810810810810811,3.674174174174174,0.12947232947232948,1
BtAsiaPac,0.5,0.1,2.3210526315789473,0.31692640692640694,1
Forthnet,0.3548387096774194,0.016129032258064516,3.2755156002115284,0.01641261963842609,1
Cesnet1999,0.23076923076923078,0.07692307692307693,2.1538461538461537,0.0,1
Reuna,0.21621621621621623,0.05405405405405406,4.843843843843844,0.0,1
Cesnet1993,0.5,0.1,2.066666666666667,0.0,1
PionierL1,0.25,0.08333333333333333,4.782539682539682,0.0,1
Garr200912,0.3333333333333333,0.09259259259259259,3.5506638714185885,0.056668537224092784,1
Geant2001,0.3333333333333333,0.14814814814814814,2.9373219373219372,0.09876543209876543,1
Mren,0.6666666666666666,0.16666666666666666,1.6666666666666667,0.0,1
Peer1,0.3125,0.25,2.7583333333333333,0.10625,1
Cudi,0.3137254901960784,0.0392156862745098,3.7772549019607844,0.0065359477124183,1
VisionNet,0.375,0.125,5.557971014492754,0.0,1
Grena,0.1875,0.1875,4.116666666666666,0.0,1
Uninet,0.46153846153846156,0.15384615384615385,2.3846153846153846,0.26666666666666666,1
Xeex,0.4166666666666667,0.125,2.9456521739130435,0.20972222222222223,1
Uninett2011,0.34782608695652173,0.10144927536231885,4.2514919011082695,0.018253968253968255,1
Funet,0.19230769230769232,0.19230769230769232,4.3476923076923075,0.05512820512820513,1
HiberniaIreland,0.25,0.25,2.0714285714285716,0.0,1
BtLatinAmerica,0.23529411764705882,0.0196078431372549,5.319191919191919,0.0718954248366013,7
Geant2009,0.38235294117647056,0.08823529411764706,3.3155080213903743,0.2360644257703081,1
Nordu2010,0.2777777777777778,0.05555555555555555,2.466666666666667,0.0667989417989418,2
Psinet,0.125,0.20833333333333334,4.742753623188406,0.041666666666666664,1
Roedunet,0.42857142857142855,0.047619047619047616,2.8281068524970965,0.013425925925925926,1
Gambia,0.35714285714285715,0.03571428571428571,3.259259259259259,0.0,1
Navigata,0.5384615384615384,0.15384615384615385,2.3076923076923075,0.15201465201465203,1
KentmanJan2011,0.15789473684210525,0.05263157894736842,3.2731152204836413,0.006477732793522267,1
Garr201008,0.2727272727272727,0.05454545454545454,3.538720538720539,0.05543617998163453,1
